연도(회차),방문객 수,개최일수,일 평균 ,연별 키워드 결과수 뉴스,날짜,끌난 일자,수입 예상,지출,온도,인상율
2000년(1회),"188,046",10,18804.6,25,08월 11일,08월 20일,,, ,
2001년(2회),"245,338",10,24533.8,27,08월 11일,08월 20일,7억,,,0.233522732
2002년(3회),"209,510",10,20951,31,08월 09일,08월 18일,,,,-0.171008544
2003년(4회),"151,235",11,13748.63636,47,08월 07일,08월 17일,9억,8억5천,,-0.523860218
2004년(5회),"126,596",11,11508.72727,103,07월 31일,08월 10일,,,,-0.194627002
2005년(6회),"283,333",10,28333.3,35,08월 12일,08월 21일,,16억원 (과학공원 8 대전시 지원 1 한국과학문화재단 7),,0.593809148
2006년(7회),"317,012",10,31701.2,86,08월 11일,08월 20일,10% 증가,,,0.106238881
2007년(8회),"195,251",5,39050.2,79,08월 15일,08월 19일,,,,0.188193658
2008년(9회),"81,291",3,27097,50,04월 19일,04월 21일,,,,-0.441126324
2009년(10회),"135,169",3,45056.33333,60,04월 10일,04월 12일,,,,0.398597312
2009년(11회),"278,189",10,27818.9,,10월 09일,10월 18일,,,,-0.619630299
2010년(12회),"130,000",3,43333.33333,70,04월 23일,04월 25일,,,,0.358025385
2010년(13회),"117,929",4,29482.25,,10월 07일,10월 10일,,,,-0.469810931
2011년(14회),"153,024",4,38256,72,10월 06일,10월 09일,,,,0.22934311
2012년(15회),"84,252",3,28084,99,10월 26일,10월 28일,,,,-0.362199117
2013년(16회),"151,878",3,50626,209,08월 09일,08월 11일,,,,0.445265279
2014년(17회),"48,000",3,16000,447,11월 12일,11월 14일,,,,-2.164125
2015년(18회),"167,800",5,33560,803,10월 17일,10월 21일,,,,0.523241955
2016년(19회),"170,210",4,42552.5,611,10월 22일,10월 25일,,,,0.211327184
2017년(20회),"222,864",4,55716,430,10월 21일,10월 24일,44억원 경제효과,,,0.236260679
2018년(21회) ,"230,000",4,57500,355,10월 19일,10월 22일,,,,0.031026087
2019(22회),"240,000",4,60000,779,10월 18일,10월 21일,,,,0.041666667
