연도(회차),방문객 수,개최일수,일 평균 ,연별 키워드 결과수 뉴스,날짜,끌난 일자,수입 예상,지출,평균 기온,인상율,BigKinds_검색결과,이전_결과,도중_결과,이후_결과
2000년(1회),"188,046",10,18804.6,25,2000-08-11,2000-08-20,,,,0,94,54,26,15
2001년(2회),"245,338",10,24533.8,27,2001-08-11,2001-08-20,7억,,,0.233522732,82,39,28,16
2002년(3회),"209,510",10,20951,31,2002-08-09,2002-08-18,,,,-0.171008544,77,45,20,12
2003년(4회),"151,235",11,13748.63636,47,2003-08-07,2003-08-17,9억,8억5천,,-0.523860218,68,27,27,14
2004년(5회),"126,596",11,11508.72727,86,2004-07-31,2004-08-10,,,,-0.194627002,96,68,16,12
2005년(6회),"283,333",10,28333.3,35,2005-08-12,2005-08-21,,16억원 (과학공원 8 대전시 지원 1 한국과학문화재단 7),,0.593809148,36,23,3,11
2006년(7회),"317,012",10,31701.2,70,2006-08-11,2006-08-20,10% 증가,,,0.106238881,43,24,15,4
2007년(8회),"195,251",5,39050.2,43,2007-08-15,2007-08-19,,,,0.188193658,53,32,8,13
2008년(9회),"81,291",3,27097,30,2008-04-19,2008-04-21,,,,-0.441126324,62,41,3,18
2009년(10회),"135,169",3,45056.33333,60,2009-04-10,2009-04-12,,,,0.398597311,62,33,6,16
2009년(11회),"278,189",10,27818.9,60,2009-10-09,2009-10-18,,,,-0.619630299,62,5,3,5
2010년(12회),"130,000",3,43333.33333,70,2010-04-23,2010-04-25,,,,0.358025385,85,27,3,8
2010년(13회),"117,929",4,29482.25,70,2010-10-07,2010-10-10,,,,-0.469810931,85,29,11,7
2011년(14회),"153,024",4,38256,72,2011-10-06,2011-10-09,,,,0.22934311,94,68,9,17
2012년(15회),"84,252",3,28084,99,2012-10-26,2012-10-28,,,,-0.362199117,89,67,3,19
2013년(16회),"151,878",3,50626,111,2013-08-09,2013-08-11,,,,0.445265279,97,63,14,20
2014년(17회),"48,000",3,16000,262,2014-11-12,2014-11-14,,,,-2.164125,156,83,18,36
2015년(18회),"167,800",5,33560,404,2015-10-17,2015-10-21,,,,0.523241955,152,90,21,27
2016년(19회),"170,210",4,42552.5,449,2016-10-22,2016-10-25,,,,0.211327184,91,51,5,10
2017년(20회),"222,864",4,55716,296,2017-10-21,2017-10-24,44억원 경제효과,,,0.236260679,62,44,4,2
2018년(21회) ,"230,000",4,57500,186,2018-10-19,2018-10-22,,,,0.031026087,46,20,9,9
2019(22회),"240,000",4,60000,280,2019-10-18,2019-10-21,,,,0.041666667,49,37,11,4
